review_id,customer_id,product_id,rating,review_text,sentiment_label,review_date
R00040,C03266,P0042,4,Works as expected,Positive,2026-02-10
R00041,C00783,P0001,5,Amazing product,Positive,2025-10-31
R00042,C02102,P0023,2,Expected better quality,Negative,2024-11-16
R00043,C04476,P0016,5,Amazing product,Positive,2024-12-21
R00044,C03876,P0034,2,Not fully satisfied,Negative,2024-06-17
R00045,C01230,P0022,2,Delivery was late,Negative,2025-12-03
R00046,C03081,P0002,2,Not fully satisfied,Negative,2024-11-26
R00047,C00022,P0021,4,Good quality,Positive,2025-08-26
R00048,C02303,P0029,2,Not fully satisfied,Negative,2026-03-16
R00049,C03922,P0041,3,Could be better,Neutral,2024-07-07
R00050,C02594,P0032,5,Very satisfied,Positive,2026-03-31
R00051,C00219,P0017,3,Nothing special,Neutral,2025-06-08
R00052,C00039,P0001,4,Nice product,Positive,2025-09-11
R00053,C02187,P0024,3,Could be better,Neutral,2026-03-20
R00054,C03686,P0041,4,Nice product,Positive,2024-11-21
R00055,C04333,P0011,3,Nothing special,Neutral,2025-02-21
R00056,C03137,P0005,4,Satisfied with purchase,Positive,2025-08-14
R00057,C04936,P0022,3,Could be better,Neutral,2024-09-03
R00058,C01388,P0024,5,Very satisfied,Positive,2024-10-30
R00059,C01533,P0038,4,Good quality,Positive,2025-02-16
R00060,C04521,P0019,4,Good quality,Positive,2026-04-30
R00061,C04008,P0027,4,Nice product,Positive,2025-09-08
R00062,C00584,P0002,5,Highly recommended,Positive,2025-07-11
R00063,C02198,P0007,5,Very satisfied,Positive,2025-11-24
R00064,C04128,P0009,4,Satisfied with purchase,Positive,2025-07-13
R00065,C01608,P0015,5,Very satisfied,Positive,2024-08-14
R00066,C02491,P0014,5,Excellent quality,Positive,2026-06-09
R00067,C00686,P0026,1,Not worth the money,Negative,2024-12-18
R00068,C04407,P0026,4,Nice product,Positive,2025-02-04
R00069,C01489,P0029,3,Could be better,Neutral,2025-11-14
R00070,C04569,P0015,3,Could be better,Neutral,2024-06-17
R00071,C04170,P0029,4,Works as expected,Positive,2025-03-01
R00072,C00324,P0021,5,Excellent quality,Positive,2024-08-27
R00073,C01711,P0007,4,Good quality,Positive,2025-02-10
R00074,C03619,P0012,2,Not fully satisfied,Negative,2025-10-02
R00075,C01459,P0034,3,Nothing special,Neutral,2024-10-30
R00076,C04989,P0023,5,Excellent quality,Positive,2024-07-06
R00077,C00235,P0030,1,Not worth the money,Negative,2026-06-04
R00078,C04474,P0007,5,Worth every penny,Positive,2024-12-23
R00079,C01961,P0003,3,Could be better,Neutral,2025-07-28
R00080,C00379,P0026,2,Not fully satisfied,Negative,2026-01-13
R00081,C01200,P0026,3,Okay for the price,Neutral,2024-11-03
R00082,C03633,P0043,3,Okay for the price,Neutral,2025-11-02
R00083,C02262,P0001,5,Amazing product,Positive,2025-08-17
R00084,C01374,P0028,4,Works as expected,Positive,2026-01-10
R00085,C00971,P0032,5,Excellent quality,Positive,2024-12-26
R00086,C03401,P0019,4,Nice product,Positive,2025-08-14
R00087,C00679,P0033,1,Terrible experience,Negative,2026-01-04
R00088,C02626,P0004,4,Nice product,Positive,2024-12-23
R00089,C04143,P0025,2,Expected better quality,Negative,2024-09-25
R00090,C00647,P0018,5,Worth every penny,Positive,2024-07-12
R00091,C04800,P0025,4,Works as expected,Positive,2026-02-05
R00092,C03057,P0034,5,Very satisfied,Positive,2026-05-02
R00093,C01502,P0032,5,Worth every penny,Positive,2026-05-18
R00094,C03368,P0003,5,Excellent quality,Positive,2025-05-12
R00095,C01239,P0033,5,Amazing product,Positive,2024-12-10
R00096,C02492,P0019,5,Highly recommended,Positive,2024-10-24
R00097,C01903,P0009,1,Very disappointed,Negative,2024-12-23
R00098,C02088,P0031,5,Very satisfied,Positive,2024-11-18
R00099,C03850,P0037,1,Poor quality,Negative,2025-10-22
R00100,C00393,P0038,3,Nothing special,Neutral,2025-05-18
R00101,C01108,P0037,4,Nice product,Positive,2026-02-25
R00102,C00218,P0036,4,Nice product,Positive,2026-02-10
R00103,C03332,P0028,3,Average product,Neutral,2025-07-28
R00104,C03305,P0042,5,Very satisfied,Positive,2026-01-31
R00105,C00930,P0034,1,Very disappointed,Negative,2024-11-14
R00106,C01856,P0033,5,Amazing product,Positive,2024-11-27
R00107,C04602,P0033,4,Nice product,Positive,2025-10-11
R00108,C03967,P0029,3,Could be better,Neutral,2024-12-29
R00109,C02533,P0005,5,Amazing product,Positive,2024-12-30
R00110,C01356,P0036,3,Could be better,Neutral,2025-09-28
R00111,C00335,P0016,5,Highly recommended,Positive,2026-03-10
R00112,C02304,P0035,4,Good quality,Positive,2024-08-18
R00113,C04467,P0024,4,Satisfied with purchase,Positive,2026-01-31
R00114,C04747,P0033,4,Good quality,Positive,2026-01-04
R00115,C02041,P0013,3,Nothing special,Neutral,2025-07-23
R00116,C00746,P0039,5,Very satisfied,Positive,2024-10-15
R00117,C04408,P0005,5,Worth every penny,Positive,2026-02-27
R00118,C03248,P0036,4,Good quality,Positive,2024-11-25
R00119,C02540,P0014,5,Highly recommended,Positive,2024-07-26
R00120,C03873,P0006,1,Poor quality,Negative,2025-08-06
R00121,C02197,P0035,4,Good quality,Positive,2025-01-20
R00122,C02225,P0024,3,Nothing special,Neutral,2025-01-10
R00123,C01020,P0022,4,Works as expected,Positive,2025-08-29
R00124,C01338,P0002,4,Good quality,Positive,2024-06-30
R00125,C04763,P0009,5,Worth every penny,Positive,2025-07-14
R00126,C03658,P0025,5,Very satisfied,Positive,2024-11-21
R00127,C02182,P0031,4,Good quality,Positive,2024-11-22
R00128,C03572,P0010,1,Terrible experience,Negative,2026-05-31
R00129,C03117,P0023,1,Terrible experience,Negative,2025-08-29
R00130,C01873,P0041,1,Very disappointed,Negative,2025-11-07
R00131,C03895,P0027,5,Amazing product,Positive,2024-12-27
R00132,C02587,P0041,4,Good quality,Positive,2025-10-09
R00133,C04312,P0012,3,Could be better,Neutral,2026-02-06
R00134,C02155,P0041,1,Poor quality,Negative,2025-06-24
R00135,C02707,P0035,5,Highly recommended,Positive,2025-07-02
R00136,C00131,P0002,5,Very satisfied,Positive,2026-04-29
R00137,C01613,P0008,4,Good quality,Positive,2024-12-07
R00138,C00001,P0013,1,Terrible experience,Negative,2026-05-05
R00139,C01795,P0035,4,Satisfied with purchase,Positive,2025-06-23
R00140,C01550,P0042,4,Works as expected,Positive,2025-10-17
R00141,C02050,P0012,2,Delivery was late,Negative,2025-02-09
R00142,C01945,P0038,2,Expected better quality,Negative,2025-03-13
R00143,C02013,P0039,4,Works as expected,Positive,2024-11-01
R00144,C00244,P0013,1,Very disappointed,Negative,2025-09-24
R00145,C04141,P0034,4,Good quality,Positive,2025-07-28
R00146,C01114,P0019,4,Good quality,Positive,2024-09-13
R00147,C04248,P0036,3,Average product,Neutral,2024-12-24
R00148,C02848,P0005,1,Terrible experience,Negative,2025-08-06
R00149,C04125,P0025,1,Terrible experience,Negative,2024-07-07
R00150,C02878,P0017,5,Amazing product,Positive,2024-07-18
R00151,C03290,P0020,4,Good quality,Positive,2025-07-03
R00152,C01879,P0042,3,Average product,Neutral,2025-05-30
R00153,C01982,P0003,2,Expected better quality,Negative,2025-03-12
R00154,C04224,P0013,4,Satisfied with purchase,Positive,2024-11-25
R00155,C02288,P0017,3,Could be better,Neutral,2026-04-15
R00156,C02295,P0033,2,Not fully satisfied,Negative,2025-10-27
R00157,C01531,P0011,4,Works as expected,Positive,2025-06-09
R00158,C00667,P0018,2,Expected better quality,Negative,2025-10-12
R00159,C00952,P0007,5,Excellent quality,Positive,2025-04-24
R00160,C00751,P0020,5,Highly recommended,Positive,2025-03-10
R00161,C04112,P0024,2,Delivery was late,Negative,2024-10-18
R00162,C04209,P0041,2,Not fully satisfied,Negative,2024-11-06
R00163,C02366,P0029,4,Nice product,Positive,2024-09-20
R00164,C04400,P0024,3,Average product,Neutral,2024-07-30
R00165,C03274,P0016,4,Works as expected,Positive,2024-09-24
R00166,C03386,P0040,4,Works as expected,Positive,2024-06-22
R00167,C00195,P0004,3,Could be better,Neutral,2024-09-14
R00168,C00246,P0017,2,Expected better quality,Negative,2025-12-01
R00169,C04440,P0035,4,Good quality,Positive,2024-09-02
R00170,C01207,P0030,5,Excellent quality,Positive,2026-02-08
R00171,C04585,P0006,4,Good quality,Positive,2024-10-19
R00172,C03646,P0022,2,Not fully satisfied,Negative,2025-12-12
R00173,C03051,P0019,2,Delivery was late,Negative,2025-02-28
R00174,C02384,P0034,3,Okay for the price,Neutral,2026-03-02
R00175,C02534,P0005,4,Nice product,Positive,2025-09-13
R00176,C03586,P0013,3,Average product,Neutral,2025-10-05
R00177,C01459,P0020,4,Satisfied with purchase,Positive,2025-10-03
R00178,C01381,P0001,2,Expected better quality,Negative,2024-08-11
R00179,C03013,P0017,5,Amazing product,Positive,2025-12-31
R00180,C03522,P0038,4,Works as expected,Positive,2024-12-20
R00181,C00271,P0014,3,Okay for the price,Neutral,2024-07-18
R00182,C00605,P0028,5,Excellent quality,Positive,2026-02-24
R00183,C01250,P0043,5,Worth every penny,Positive,2026-05-29
R00184,C03739,P0024,5,Highly recommended,Positive,2024-08-12
R00185,C00889,P0001,4,Satisfied with purchase,Positive,2025-07-07
R00186,C04825,P0011,1,Not worth the money,Negative,2024-11-07
R00187,C03216,P0005,2,Not fully satisfied,Negative,2025-08-09
R00188,C04682,P0014,4,Nice product,Positive,2026-05-31
R00189,C00247,P0002,4,Works as expected,Positive,2025-02-24
R00190,C03904,P0003,4,Satisfied with purchase,Positive,2026-03-01
R00191,C03725,P0031,3,Could be better,Neutral,2025-02-07
R00192,C01606,P0038,4,Works as expected,Positive,2024-12-29
R00193,C00500,P0034,5,Amazing product,Positive,2026-03-14
R00194,C04383,P0040,3,Okay for the price,Neutral,2024-10-01
R00195,C00110,P0041,5,Amazing product,Positive,2024-07-26
R00196,C03877,P0009,1,Not worth the money,Negative,2025-08-15
R00197,C01423,P0041,5,Highly recommended,Positive,2024-07-08
R00198,C04306,P0032,3,Could be better,Neutral,2025-09-04
R00199,C03684,P0008,5,Amazing product,Positive,2024-12-17
R00200,C03627,P0021,4,Good quality,Positive,2025-03-09
R00201,C02436,P0013,5,Excellent quality,Positive,2024-08-29
R00202,C00360,P0008,5,Excellent quality,Positive,2026-05-31
R00203,C04349,P0016,5,Highly recommended,Positive,2025-11-04
R00204,C03661,P0021,5,Worth every penny,Positive,2025-01-21
R00205,C03312,P0020,4,Works as expected,Positive,2025-02-23
R00206,C02502,P0017,5,Worth every penny,Positive,2024-09-03
R00207,C00691,P0020,5,Excellent quality,Positive,2026-04-21
R00208,C02041,P0043,5,Highly recommended,Positive,2025-08-16
R00209,C00126,P0014,4,Satisfied with purchase,Positive,2025-12-29
R00210,C03562,P0026,5,Excellent quality,Positive,2025-09-15
R00211,C03721,P0015,2,Expected better quality,Negative,2024-07-05
R00212,C04394,P0038,4,Good quality,Positive,2025-09-25
R00213,C00488,P0020,5,Worth every penny,Positive,2026-04-14
R00214,C01472,P0031,4,Satisfied with purchase,Positive,2024-07-16
R00215,C02363,P0021,4,Nice product,Positive,2024-12-22
R00216,C02268,P0019,5,Worth every penny,Positive,2025-12-13
R00217,C04243,P0025,4,Good quality,Positive,2024-08-04
R00218,C02816,P0005,4,Good quality,Positive,2024-07-09
R00219,C02001,P0003,3,Okay for the price,Neutral,2024-08-23
R00220,C00679,P0040,1,Terrible experience,Negative,2025-11-25
R00221,C02416,P0011,1,Very disappointed,Negative,2026-05-18
R00222,C03732,P0009,5,Highly recommended,Positive,2025-06-02
R00223,C02938,P0034,4,Works as expected,Positive,2024-07-27
R00224,C03899,P0026,3,Nothing special,Neutral,2026-05-02
R00225,C04291,P0034,5,Amazing product,Positive,2025-06-10
R00226,C01622,P0008,5,Very satisfied,Positive,2024-12-13
R00227,C03299,P0033,5,Worth every penny,Positive,2025-06-02
R00228,C00702,P0008,5,Very satisfied,Positive,2025-07-02
R00229,C01856,P0033,5,Worth every penny,Positive,2024-11-27
R00230,C00391,P0019,4,Satisfied with purchase,Positive,2026-04-19
R00231,C03048,P0041,4,Works as expected,Positive,2025-10-14
R00232,C01254,P0018,1,Poor quality,Negative,2024-10-13
R00233,C04009,P0005,5,Excellent quality,Positive,2026-01-11
R00234,C01959,P0008,1,Poor quality,Negative,2025-06-30
R00235,C02933,P0043,4,Good quality,Positive,2024-10-11
R00236,C03246,P0015,3,Average product,Neutral,2025-01-05
R00237,C01516,P0020,5,Highly recommended,Positive,2025-11-15
R00238,C03464,P0024,5,Worth every penny,Positive,2026-04-18
R00239,C03155,P0021,2,Delivery was late,Negative,2025-10-03
R00240,C00977,P0041,4,Satisfied with purchase,Positive,2024-11-17
R00241,C03227,P0030,2,Expected better quality,Negative,2024-11-16
R00242,C02099,P0034,5,Worth every penny,Positive,2025-10-29
R00243,C00324,P0034,4,Works as expected,Positive,2026-04-03
R00244,C03831,P0006,2,Expected better quality,Negative,2026-04-28
R00245,C01727,P0006,1,Not worth the money,Negative,2026-02-02
R00246,C03502,P0032,5,Worth every penny,Positive,2026-05-27
R00247,C02027,P0038,1,Not worth the money,Negative,2026-04-25
R00248,C01910,P0029,5,Excellent quality,Positive,2025-11-29
R00249,C00801,P0005,1,Very disappointed,Negative,2026-04-13
R00250,C04140,P0033,2,Not fully satisfied,Negative,2026-04-14
R00251,C03327,P0041,3,Could be better,Neutral,2025-08-03
R00252,C02583,P0038,5,Worth every penny,Positive,2025-11-22
R00253,C03010,P0029,2,Not fully satisfied,Negative,2026-02-14
R00254,C02721,P0017,5,Highly recommended,Positive,2024-12-25
R00255,C04876,P0028,1,Very disappointed,Negative,2025-05-11
R00256,C04828,P0021,5,Amazing product,Positive,2025-09-28
R00257,C04457,P0003,2,Not fully satisfied,Negative,2026-03-24
R00258,C00085,P0010,5,Excellent quality,Positive,2024-12-14
R00259,C04499,P0024,2,Delivery was late,Negative,2025-01-31
R00260,C01882,P0040,5,Amazing product,Positive,2026-05-17
R00261,C01265,P0040,3,Nothing special,Neutral,2026-02-24
R00262,C04386,P0021,5,Amazing product,Positive,2026-01-23
R00263,C02980,P0018,4,Good quality,Positive,2024-06-21
R00264,C01663,P0014,4,Nice product,Positive,2024-07-03
R00265,C02860,P0034,4,Satisfied with purchase,Positive,2025-03-19
R00266,C01141,P0033,5,Amazing product,Positive,2026-04-25
R00267,C02063,P0022,5,Excellent quality,Positive,2025-09-20
R00268,C03141,P0022,1,Poor quality,Negative,2026-04-23
R00269,C02510,P0040,5,Very satisfied,Positive,2026-05-11
R00270,C01544,P0020,2,Not fully satisfied,Negative,2024-09-08
R00271,C01757,P0017,5,Very satisfied,Positive,2025-10-29
R00272,C00093,P0024,4,Good quality,Positive,2025-12-15
R00273,C01612,P0019,5,Highly recommended,Positive,2026-02-03
R00274,C04602,P0040,4,Nice product,Positive,2025-12-22
R00275,C00710,P0020,5,Excellent quality,Positive,2024-06-19
R00276,C01022,P0002,5,Highly recommended,Positive,2025-01-10
R00277,C04454,P0032,3,Nothing special,Neutral,2025-10-12
R00278,C03505,P0040,3,Could be better,Neutral,2024-12-25
R00279,C03802,P0002,3,Average product,Neutral,2026-03-20
R00280,C01413,P0041,4,Works as expected,Positive,2026-01-08
R00281,C01624,P0013,2,Expected better quality,Negative,2025-07-02
R00282,C01395,P0005,5,Highly recommended,Positive,2025-04-29
R00283,C02554,P0012,5,Highly recommended,Positive,2026-02-27
R00284,C04206,P0018,5,Amazing product,Positive,2025-01-29
R00285,C02328,P0031,5,Worth every penny,Positive,2025-01-10
R00286,C04182,P0020,3,Nothing special,Neutral,2024-08-18
R00287,C00578,P0030,5,Highly recommended,Positive,2025-10-27
R00288,C01471,P0017,3,Could be better,Neutral,2025-08-18
R00289,C03559,P0008,2,Not fully satisfied,Negative,2025-07-02
R00290,C02178,P0022,3,Could be better,Neutral,2026-01-15
R00291,C01814,P0003,1,Not worth the money,Negative,2024-10-18
R00292,C04788,P0035,3,Average product,Neutral,2024-07-07
R00293,C01254,P0018,5,Worth every penny,Positive,2024-10-13
R00294,C02943,P0001,2,Delivery was late,Negative,2025-09-25
R00295,C01023,P0006,5,Worth every penny,Positive,2024-10-12
R00296,C04339,P0013,4,Satisfied with purchase,Positive,2025-06-20
R00297,C00858,P0037,4,Nice product,Positive,2024-07-03
R00298,C01973,P0002,2,Not fully satisfied,Negative,2024-12-05
R00299,C01345,P0042,3,Okay for the price,Neutral,2024-08-19
R00300,C01510,P0016,3,Okay for the price,Neutral,2026-02-16
R00301,C00889,P0013,3,Okay for the price,Neutral,2026-05-10
R00302,C02880,P0001,2,Delivery was late,Negative,2025-12-13
R00303,C02969,P0038,5,Excellent quality,Positive,2025-04-05
R00304,C02639,P0003,4,Nice product,Positive,2024-08-20
R00305,C02087,P0016,5,Very satisfied,Positive,2024-12-14
R00306,C04202,P0001,5,Excellent quality,Positive,2025-08-08
R00307,C02915,P0031,4,Works as expected,Positive,2025-12-11
R00308,C00125,P0024,5,Amazing product,Positive,2025-01-23
R00309,C02056,P0032,4,Good quality,Positive,2024-09-18
R00310,C02423,P0038,2,Expected better quality,Negative,2026-02-06
R00311,C01074,P0039,1,Terrible experience,Negative,2025-05-01
R00312,C03027,P0025,5,Excellent quality,Positive,2025-12-22
R00313,C00955,P0028,5,Amazing product,Positive,2025-10-16
R00314,C02360,P0030,5,Amazing product,Positive,2026-01-16
R00315,C03336,P0040,5,Highly recommended,Positive,2024-10-23
R00316,C02875,P0017,4,Nice product,Positive,2025-07-30
R00317,C00537,P0026,5,Very satisfied,Positive,2026-03-21
R00318,C00669,P0040,1,Poor quality,Negative,2024-11-26
R00319,C01151,P0036,4,Satisfied with purchase,Positive,2026-03-20
R00320,C00475,P0035,4,Good quality,Positive,2026-03-31
R00321,C02041,P0003,3,Could be better,Neutral,2026-04-01
R00322,C01281,P0024,1,Poor quality,Negative,2025-01-04
R00323,C04290,P0043,4,Nice product,Positive,2025-11-29
R00324,C00037,P0035,2,Delivery was late,Negative,2025-01-10
R00325,C01568,P0008,2,Delivery was late,Negative,2024-10-27
R00326,C01082,P0021,3,Okay for the price,Neutral,2025-07-23
R00327,C03152,P0018,4,Good quality,Positive,2025-06-24
R00328,C03652,P0018,5,Amazing product,Positive,2025-10-06
R00329,C02575,P0036,5,Highly recommended,Positive,2025-12-01
R00330,C01525,P0034,3,Average product,Neutral,2024-07-10
R00331,C03950,P0043,4,Satisfied with purchase,Positive,2026-04-30
R00332,C01649,P0006,1,Terrible experience,Negative,2025-07-14
R00333,C02197,P0018,3,Could be better,Neutral,2025-12-05
R00334,C01994,P0040,3,Average product,Neutral,2025-12-05
R00335,C04691,P0006,1,Not worth the money,Negative,2025-08-24
R00336,C02806,P0005,4,Good quality,Positive,2026-04-07
R00337,C02372,P0002,5,Highly recommended,Positive,2025-12-08
R00338,C01600,P0038,4,Works as expected,Positive,2025-08-19
R00339,C01721,P0030,5,Highly recommended,Positive,2024-08-18
R00340,C02376,P0033,3,Nothing special,Neutral,2024-07-16
R00341,C00536,P0016,3,Could be better,Neutral,2026-04-07
R00342,C02661,P0022,4,Good quality,Positive,2025-06-23
R00343,C02273,P0022,2,Expected better quality,Negative,2024-10-29
R00344,C04846,P0007,2,Not fully satisfied,Negative,2025-02-02
R00345,C02443,P0040,1,Poor quality,Negative,2025-03-04
R00346,C01798,P0039,4,Satisfied with purchase,Positive,2025-12-19
R00347,C03167,P0007,5,Amazing product,Positive,2024-11-26
R00348,C02030,P0005,2,Not fully satisfied,Negative,2025-04-20
R00349,C04339,P0013,4,Nice product,Positive,2025-06-20
R00350,C03196,P0024,5,Excellent quality,Positive,2024-12-03
R00351,C00101,P0029,3,Nothing special,Neutral,2025-08-07
R00352,C04805,P0005,3,Average product,Neutral,2024-11-21
R00353,C02827,P0041,4,Works as expected,Positive,2025-10-12
R00354,C01101,P0039,2,Delivery was late,Negative,2024-06-16
R00355,C00906,P0030,4,Good quality,Positive,2026-02-27
R00356,C02322,P0032,2,Expected better quality,Negative,2025-12-13
R00357,C04160,P0014,3,Nothing special,Neutral,2025-10-08
R00358,C03906,P0021,4,Satisfied with purchase,Positive,2024-09-30
R00359,C00577,P0003,2,Expected better quality,Negative,2025-11-26
R00360,C00045,P0006,2,Expected better quality,Negative,2025-05-03
R00361,C04201,P0010,5,Excellent quality,Positive,2024-09-23
R00362,C00931,P0030,4,Nice product,Positive,2024-11-24
R00363,C03926,P0039,4,Works as expected,Positive,2025-07-09
R00364,C01413,P0002,4,Good quality,Positive,2025-10-11
R00365,C00549,P0025,3,Nothing special,Neutral,2025-03-04
R00366,C00932,P0027,3,Average product,Neutral,2026-02-14
R00367,C01559,P0010,3,Average product,Neutral,2025-09-07
R00368,C03767,P0009,5,Amazing product,Positive,2026-01-10
R00369,C00963,P0024,2,Expected better quality,Negative,2025-07-13
R00370,C04347,P0036,3,Nothing special,Neutral,2024-07-21
R00371,C00516,P0022,3,Nothing special,Neutral,2025-06-06
R00372,C01872,P0022,5,Very satisfied,Positive,2024-07-19
R00373,C03480,P0031,5,Highly recommended,Positive,2024-11-03
R00374,C03096,P0016,5,Worth every penny,Positive,2025-04-17
R00375,C02191,P0042,3,Could be better,Neutral,2025-09-14
R00376,C03848,P0004,4,Good quality,Positive,2026-02-07
R00377,C01280,P0007,3,Could be better,Neutral,2025-08-15
R00378,C01360,P0031,5,Highly recommended,Positive,2025-08-16
R00379,C00809,P0030,5,Highly recommended,Positive,2026-05-12
R00380,C04576,P0007,5,Amazing product,Positive,2024-09-23
R00381,C03563,P0027,5,Excellent quality,Positive,2025-02-09
R00382,C02166,P0015,5,Amazing product,Positive,2025-11-20
R00383,C02478,P0025,2,Not fully satisfied,Negative,2026-05-07
R00384,C01819,P0033,5,Excellent quality,Positive,2024-10-28
R00385,C04042,P0041,4,Satisfied with purchase,Positive,2026-04-09
R00386,C04550,P0007,5,Highly recommended,Positive,2026-02-25
R00387,C01230,P0022,5,Worth every penny,Positive,2025-12-03
R00388,C03152,P0012,5,Highly recommended,Positive,2025-03-30
R00389,C03240,P0010,5,Worth every penny,Positive,2025-05-05
R00390,C02828,P0033,3,Could be better,Neutral,2025-05-24
R00391,C03157,P0037,4,Nice product,Positive,2025-10-31
R00392,C00423,P0034,4,Good quality,Positive,2024-09-26
R00393,C04359,P0015,4,Good quality,Positive,2024-11-04
R00394,C04795,P0009,4,Nice product,Positive,2025-08-17
R00395,C04910,P0037,4,Satisfied with purchase,Positive,2025-07-03
R00396,C02117,P0041,5,Amazing product,Positive,2025-11-12
R00397,C00621,P0035,5,Excellent quality,Positive,2026-05-09
R00398,C01871,P0008,5,Amazing product,Positive,2025-04-26
R00399,C02968,P0015,2,Expected better quality,Negative,2024-08-21
R00400,C00057,P0019,5,Highly recommended,Positive,2024-09-23
R00401,C01770,P0024,1,Not worth the money,Negative,2025-05-03
R00402,C04041,P0006,3,Could be better,Neutral,2025-10-24
R00403,C00126,P0007,4,Works as expected,Positive,2025-09-15
R00404,C01898,P0041,5,Very satisfied,Positive,2025-02-19
R00405,C00383,P0036,4,Works as expected,Positive,2026-01-14
R00406,C00315,P0034,4,Works as expected,Positive,2025-05-11
R00407,C03225,P0036,3,Nothing special,Neutral,2025-11-29
R00408,C04726,P0041,1,Poor quality,Negative,2024-07-27
R00409,C04940,P0015,5,Highly recommended,Positive,2026-05-18
R00410,C04279,P0009,3,Nothing special,Neutral,2025-04-29
R00411,C04969,P0020,5,Amazing product,Positive,2026-05-26
R00412,C02401,P0013,5,Amazing product,Positive,2025-09-23
R00413,C03800,P0019,5,Amazing product,Positive,2025-11-30
R00414,C00592,P0034,4,Nice product,Positive,2025-01-12
R00415,C01286,P0002,3,Average product,Neutral,2025-12-01
R00416,C01016,P0025,5,Amazing product,Positive,2024-09-17
R00417,C00934,P0024,3,Nothing special,Neutral,2025-05-24
R00418,C04822,P0019,2,Expected better quality,Negative,2025-11-18
R00419,C03161,P0025,5,Amazing product,Positive,2025-09-09
R00420,C02136,P0010,2,Delivery was late,Negative,2024-08-18
R00421,C02952,P0016,1,Very disappointed,Negative,2025-10-19
R00422,C01076,P0032,3,Okay for the price,Neutral,2024-08-12
R00423,C03528,P0014,5,Worth every penny,Positive,2024-10-06
R00424,C01836,P0020,5,Highly recommended,Positive,2025-01-30
R00425,C04059,P0037,2,Delivery was late,Negative,2025-08-22
R00426,C04551,P0005,4,Nice product,Positive,2025-01-31
R00427,C00620,P0038,3,Could be better,Neutral,2025-06-26
R00428,C01952,P0017,3,Average product,Neutral,2025-08-19
R00429,C02708,P0024,4,Satisfied with purchase,Positive,2025-10-04
R00430,C03337,P0005,5,Worth every penny,Positive,2026-01-13
R00431,C02064,P0039,3,Could be better,Neutral,2026-05-12
R00432,C00570,P0006,1,Poor quality,Negative,2024-12-15
R00433,C00227,P0003,3,Could be better,Neutral,2025-04-05
R00434,C01352,P0035,4,Good quality,Positive,2024-09-13
R00435,C04806,P0003,4,Works as expected,Positive,2025-09-10
R00436,C02184,P0008,3,Okay for the price,Neutral,2026-05-30
R00437,C03055,P0013,3,Okay for the price,Neutral,2025-05-05
R00438,C00737,P0028,5,Very satisfied,Positive,2026-03-29
R00439,C00711,P0001,1,Very disappointed,Negative,2024-06-25
R00440,C03470,P0008,5,Worth every penny,Positive,2024-06-12
