event_id,customer_id,event_type,event_date,device_type,traffic_source
E00128,C02070,Visit,2025-11-26,Mobile,Google
E00129,C01734,Checkout,2024-07-19,Mobile,Direct
E00130,C00209,Visit,2025-01-12,Desktop,Google
E00131,C00520,Checkout,2025-09-02,Desktop,Instagram
E00132,C01291,Product View,2025-06-15,Mobile,Facebook
E00133,C01060,Purchase,2024-09-13,Desktop,Facebook
E00134,C04229,Visit,2024-06-26,Tablet,Instagram
E00135,C04771,Purchase,2024-07-24,Tablet,Direct
E00136,C02411,Visit,2025-08-10,Mobile,Google
E00137,C04136,Product View,2026-02-17,Desktop,Google
E00138,C03654,Visit,2026-02-10,Desktop,Facebook
E00139,C01021,Checkout,2024-12-13,Desktop,Instagram
E00140,C01334,Visit,2025-08-20,Tablet,Facebook
E00141,C04256,Product View,2025-08-19,Desktop,Facebook
E00142,C03308,Visit,2025-08-21,Desktop,Google
E00143,C00942,Add To Cart,2025-05-30,Mobile,Facebook
E00144,C04689,Visit,2025-03-20,Tablet,Google
E00145,C01441,Product View,2025-04-08,Mobile,Instagram
E00146,C02355,Add To Cart,2024-09-15,Tablet,Facebook
E00147,C00325,Product View,2025-02-26,Mobile,Google
E00148,C01756,Purchase,2025-01-19,Desktop,Google
E00149,C00580,Product View,2024-06-10,Tablet,Direct
E00150,C02310,Checkout,2025-05-14,Tablet,Facebook
E00151,C04571,Visit,2025-06-17,Tablet,Facebook
E00152,C04203,Visit,2025-01-14,Mobile,Instagram
E00153,C04681,Visit,2025-05-15,Mobile,Facebook
E00154,C04484,Add To Cart,2024-08-15,Mobile,Google
E00155,C01112,Add To Cart,2026-01-21,Desktop,Google
E00156,C00268,Visit,2025-01-29,Desktop,Direct
E00157,C02948,Visit,2026-03-15,Mobile,Google
E00158,C01670,Visit,2024-08-23,Tablet,Direct
E00159,C03646,Checkout,2025-06-11,Desktop,Google
E00160,C03037,Product View,2026-03-12,Mobile,Google
E00161,C04772,Product View,2026-01-07,Desktop,Google
E00162,C02709,Add To Cart,2025-05-31,Mobile,Facebook
E00163,C02807,Visit,2025-05-05,Desktop,Direct
E00164,C01027,Purchase,2024-10-13,Mobile,Facebook
E00165,C04426,Product View,2026-04-20,Desktop,Google
E00166,C04442,Visit,2025-08-19,Mobile,Google
E00167,C01168,Product View,2025-03-26,Mobile,Google
E00168,C00880,Product View,2026-03-17,Desktop,Direct
E00169,C01267,Visit,2025-06-03,Mobile,Direct
E00170,C04981,Product View,2026-03-31,Desktop,Facebook
E00171,C03408,Product View,2026-04-30,Mobile,Direct
E00172,C03984,Product View,2026-05-06,Tablet,Facebook
E00173,C00024,Add To Cart,2024-07-01,Mobile,Instagram
E00174,C01390,Visit,2026-06-06,Mobile,Facebook
E00175,C03724,Purchase,2025-12-21,Desktop,Instagram
E00176,C02820,Add To Cart,2025-08-24,Desktop,Instagram
E00177,C04722,Visit,2025-10-06,Desktop,Direct
E00178,C01433,Visit,2025-03-18,Desktop,Instagram
E00179,C03947,Visit,2025-07-15,Mobile,Instagram
E00180,C00080,Add To Cart,2025-04-24,Mobile,Facebook
E00181,C01812,Add To Cart,2024-07-25,Tablet,Facebook
E00182,C04740,Add To Cart,2025-02-24,Desktop,Instagram
E00183,C04023,Visit,2026-03-23,Mobile,Facebook
E00184,C01464,Checkout,2025-09-15,Tablet,Facebook
E00185,C01519,Product View,2026-01-25,Mobile,Instagram
E00186,C04154,Visit,2024-11-01,Desktop,Direct
E00187,C01975,Product View,2024-07-14,Desktop,Google
E00188,C00152,Checkout,2025-05-26,Mobile,Facebook
E00189,C00176,Product View,2025-03-25,Desktop,Instagram
E00190,C02421,Visit,2024-12-01,Desktop,Google
E00191,C02100,Visit,2025-10-04,Desktop,Direct
E00192,C02792,Checkout,2026-02-03,Desktop,Direct
E00193,C02284,Product View,2025-04-09,Mobile,Facebook
E00194,C03500,Product View,2026-01-13,Mobile,Instagram
E00195,C00791,Visit,2024-10-30,Mobile,Direct
E00196,C01295,Add To Cart,2025-09-08,Mobile,Direct
E00197,C03058,Visit,2026-05-15,Desktop,Facebook
E00198,C00055,Visit,2025-05-14,Tablet,Google
E00199,C03888,Purchase,2025-09-11,Tablet,Google
E00200,C01660,Visit,2025-07-03,Desktop,Google
E00201,C02344,Add To Cart,2025-12-22,Tablet,Facebook
E00202,C02304,Add To Cart,2026-01-27,Tablet,Instagram
E00203,C00980,Purchase,2024-09-17,Desktop,Direct
E00204,C03380,Visit,2025-09-13,Mobile,Instagram
E00205,C04621,Visit,2026-05-15,Desktop,Google
E00206,C04849,Checkout,2024-11-13,Desktop,Direct
E00207,C02882,Add To Cart,2024-08-21,Desktop,Direct
E00208,C03620,Purchase,2024-08-18,Mobile,Facebook
E00209,C03531,Visit,2025-10-13,Mobile,Google
E00210,C03473,Checkout,2025-05-28,Tablet,Instagram
E00211,C01040,Visit,2025-08-18,Desktop,Instagram
E00212,C04125,Purchase,2024-12-27,Tablet,Instagram
E00213,C00889,Purchase,2025-02-01,Tablet,Google
E00214,C01148,Add To Cart,2024-07-03,Desktop,Google
E00215,C00528,Visit,2025-08-20,Desktop,Facebook
E00216,C04173,Visit,2026-04-09,Tablet,Facebook
E00217,C02686,Product View,2024-07-04,Desktop,Instagram
E00218,C00413,Add To Cart,2025-09-25,Mobile,Instagram
E00219,C04127,Visit,2025-05-30,Tablet,Instagram
E00220,C03001,Product View,2025-11-01,Tablet,Direct
E00221,C03422,Visit,2024-06-29,Desktop,Direct
E00222,C00558,Visit,2024-06-21,Mobile,Instagram
E00223,C02094,Purchase,2024-11-06,Tablet,Google
E00224,C04555,Checkout,2025-06-26,Tablet,Facebook
E00225,C00838,Add To Cart,2025-10-07,Desktop,Facebook
E00226,C04476,Product View,2025-01-27,Mobile,Direct
E00227,C04261,Add To Cart,2025-04-03,Mobile,Google
E00228,C04470,Visit,2025-01-11,Desktop,Facebook
E00229,C00309,Visit,2025-10-02,Desktop,Facebook
E00230,C04380,Visit,2025-12-08,Desktop,Instagram
E00231,C04011,Visit,2024-07-07,Tablet,Facebook
E00232,C04354,Purchase,2024-09-17,Tablet,Google
E00233,C04631,Checkout,2024-09-01,Mobile,Direct
E00234,C03012,Checkout,2025-10-02,Mobile,Google
E00235,C04799,Add To Cart,2026-01-10,Tablet,Google
E00236,C04559,Add To Cart,2025-10-19,Mobile,Direct
E00237,C00284,Checkout,2026-03-08,Mobile,Facebook
E00238,C00881,Visit,2025-10-15,Mobile,Facebook
E00239,C04065,Visit,2025-11-11,Desktop,Direct
E00240,C04329,Add To Cart,2025-07-15,Mobile,Google
E00241,C00661,Visit,2024-12-06,Mobile,Instagram
E00242,C03853,Visit,2025-04-10,Tablet,Direct
E00243,C03085,Visit,2025-07-18,Mobile,Google
E00244,C03984,Checkout,2024-07-04,Mobile,Google
E00245,C02625,Visit,2026-05-25,Tablet,Instagram
E00246,C03376,Product View,2024-10-12,Desktop,Instagram
E00247,C03636,Add To Cart,2024-08-06,Desktop,Instagram
E00248,C00499,Visit,2025-07-08,Desktop,Instagram
E00249,C03800,Add To Cart,2025-09-21,Mobile,Google
E00250,C04883,Visit,2025-01-19,Desktop,Direct
E00251,C03619,Product View,2024-07-29,Tablet,Facebook
E00252,C01053,Product View,2025-03-17,Mobile,Google
E00253,C00631,Visit,2025-08-04,Desktop,Direct
E00254,C02037,Checkout,2025-03-10,Desktop,Facebook
E00255,C03703,Visit,2025-04-22,Mobile,Facebook
E00256,C02057,Product View,2025-02-03,Tablet,Facebook
E00257,C00616,Add To Cart,2024-12-03,Desktop,Instagram
E00258,C01602,Add To Cart,2026-04-27,Mobile,Google
E00259,C00241,Add To Cart,2026-01-31,Desktop,Direct
E00260,C01058,Checkout,2025-01-13,Tablet,Instagram
E00261,C04267,Visit,2024-12-26,Mobile,Instagram
E00262,C03445,Purchase,2025-11-25,Mobile,Direct
E00263,C00699,Visit,2024-09-21,Mobile,Direct
E00264,C02430,Visit,2025-03-15,Mobile,Google
E00265,C04460,Checkout,2025-04-03,Desktop,Facebook
E00266,C01597,Visit,2026-01-05,Desktop,Facebook
E00267,C04324,Product View,2025-04-16,Mobile,Facebook
E00268,C00782,Visit,2025-06-07,Tablet,Direct
E00269,C03303,Product View,2024-08-20,Mobile,Facebook
E00270,C04769,Visit,2025-10-23,Tablet,Instagram
E00271,C02362,Add To Cart,2025-02-16,Tablet,Facebook
E00272,C04096,Product View,2026-01-14,Tablet,Direct
E00273,C04920,Add To Cart,2026-04-19,Mobile,Direct
E00274,C04599,Checkout,2025-10-15,Desktop,Instagram
E00275,C04987,Product View,2025-02-01,Tablet,Facebook
E00276,C03025,Visit,2025-09-28,Mobile,Google
E00277,C04948,Product View,2025-02-04,Tablet,Instagram
E00278,C03792,Add To Cart,2025-07-14,Mobile,Facebook
E00279,C00786,Visit,2025-11-03,Tablet,Direct
E00280,C04069,Visit,2025-01-11,Tablet,Google
E00281,C00852,Visit,2025-03-03,Tablet,Google
E00282,C04215,Visit,2025-01-05,Tablet,Facebook
E00283,C00972,Product View,2024-08-12,Mobile,Direct
E00284,C03306,Checkout,2025-07-26,Mobile,Instagram
E00285,C01469,Visit,2025-06-18,Tablet,Facebook
E00286,C03501,Purchase,2026-03-25,Desktop,Facebook
E00287,C02877,Product View,2024-08-16,Desktop,Instagram
E00288,C04519,Add To Cart,2026-04-02,Tablet,Facebook
E00289,C02921,Add To Cart,2025-12-07,Tablet,Instagram
E00290,C00754,Product View,2024-11-28,Mobile,Direct
E00291,C00405,Product View,2025-03-30,Tablet,Google
E00292,C00701,Product View,2024-06-16,Desktop,Instagram
E00293,C01117,Visit,2025-12-01,Desktop,Instagram
E00294,C01472,Product View,2026-05-21,Desktop,Direct
E00295,C04366,Checkout,2024-12-17,Desktop,Direct
E00296,C02464,Purchase,2024-08-18,Desktop,Google
E00297,C02661,Visit,2025-08-12,Desktop,Instagram
E00298,C04052,Product View,2025-04-23,Tablet,Direct
E00299,C04107,Visit,2024-12-07,Mobile,Facebook
E00300,C01249,Add To Cart,2025-10-08,Mobile,Instagram
E00301,C01636,Add To Cart,2025-07-27,Tablet,Google
E00302,C00593,Add To Cart,2024-11-01,Tablet,Instagram
E00303,C03322,Visit,2025-04-03,Desktop,Direct
E00304,C03007,Checkout,2024-11-25,Tablet,Facebook
E00305,C01239,Product View,2025-01-15,Tablet,Direct
E00306,C01407,Visit,2025-03-25,Mobile,Direct
E00307,C02121,Add To Cart,2026-04-30,Desktop,Facebook
E00308,C02515,Product View,2025-01-28,Desktop,Facebook
E00309,C00349,Visit,2025-11-09,Desktop,Direct
E00310,C01912,Visit,2025-11-12,Tablet,Facebook
E00311,C03867,Visit,2025-10-25,Tablet,Direct
E00312,C02262,Product View,2025-10-01,Tablet,Google
E00313,C01575,Visit,2025-01-07,Desktop,Instagram
E00314,C01888,Product View,2024-06-28,Desktop,Direct
E00315,C03879,Add To Cart,2026-04-07,Mobile,Instagram
E00316,C00958,Visit,2025-04-05,Tablet,Direct
E00317,C01683,Visit,2024-12-20,Desktop,Direct
E00318,C00005,Product View,2026-03-04,Tablet,Facebook
E00319,C03733,Visit,2025-01-26,Desktop,Direct
E00320,C03640,Checkout,2025-02-18,Desktop,Direct
E00321,C04037,Visit,2026-02-24,Desktop,Google
E00322,C00657,Add To Cart,2025-03-02,Tablet,Instagram
E00323,C02379,Product View,2025-12-04,Tablet,Google
E00324,C00236,Add To Cart,2025-12-11,Tablet,Google
E00325,C00164,Product View,2025-07-16,Tablet,Google
E00326,C03464,Purchase,2026-03-22,Desktop,Google
E00327,C04597,Product View,2024-07-26,Tablet,Instagram
E00328,C00276,Purchase,2025-04-04,Desktop,Google
E00329,C02915,Add To Cart,2024-06-17,Desktop,Google
E00330,C04896,Visit,2025-10-11,Desktop,Facebook
E00331,C03149,Visit,2026-01-18,Desktop,Facebook
E00332,C03631,Visit,2024-10-03,Mobile,Direct
E00333,C04736,Visit,2024-09-16,Tablet,Google
E00334,C04407,Checkout,2025-08-29,Desktop,Instagram
E00335,C03716,Visit,2024-08-03,Mobile,Google
E00336,C02123,Product View,2024-12-04,Mobile,Direct
E00337,C00342,Product View,2026-01-19,Mobile,Instagram
E00338,C00374,Product View,2024-09-09,Desktop,Instagram
E00339,C01688,Purchase,2025-03-06,Desktop,Google
E00340,C03630,Checkout,2025-10-03,Tablet,Facebook
E00341,C02379,Add To Cart,2024-11-04,Tablet,Direct
E00342,C02267,Visit,2025-11-02,Tablet,Facebook
E00343,C01487,Purchase,2025-09-05,Desktop,Instagram
E00344,C01943,Product View,2026-05-22,Mobile,Direct
E00345,C04782,Product View,2025-03-23,Desktop,Facebook
E00346,C02115,Add To Cart,2024-07-15,Tablet,Instagram
E00347,C02262,Product View,2024-08-02,Mobile,Google
E00348,C02686,Product View,2024-11-23,Mobile,Instagram
E00349,C04731,Product View,2026-02-26,Tablet,Google
E00350,C00924,Visit,2025-07-29,Mobile,Direct
E00351,C04261,Add To Cart,2024-09-21,Mobile,Instagram
E00352,C01759,Visit,2026-06-07,Desktop,Instagram
E00353,C02353,Purchase,2026-05-23,Desktop,Google
E00354,C02911,Purchase,2025-12-16,Desktop,Instagram
E00355,C00381,Visit,2026-05-19,Desktop,Google
E00356,C01593,Visit,2026-01-23,Tablet,Google
E00357,C02364,Product View,2025-05-16,Desktop,Facebook
E00358,C01543,Visit,2025-03-13,Mobile,Facebook
E00359,C00910,Product View,2025-05-07,Desktop,Google
E00360,C02077,Purchase,2026-04-09,Tablet,Facebook
E00361,C04971,Add To Cart,2026-06-04,Mobile,Facebook
E00362,C01332,Visit,2025-11-17,Tablet,Instagram
E00363,C04401,Purchase,2025-12-08,Mobile,Direct
E00364,C04388,Visit,2026-02-12,Tablet,Direct
E00365,C04580,Product View,2025-12-01,Mobile,Facebook
E00366,C03118,Checkout,2025-08-14,Tablet,Google
E00367,C02266,Visit,2025-06-12,Mobile,Facebook
E00368,C00089,Visit,2025-04-10,Desktop,Instagram
E00369,C02879,Visit,2026-01-20,Mobile,Facebook
E00370,C04686,Visit,2025-04-27,Desktop,Instagram
E00371,C01512,Product View,2025-01-06,Tablet,Instagram
E00372,C02702,Checkout,2025-02-21,Desktop,Google
E00373,C01539,Checkout,2026-02-07,Tablet,Facebook
E00374,C02294,Purchase,2025-01-17,Desktop,Facebook
E00375,C02886,Visit,2025-04-01,Tablet,Google
E00376,C02594,Add To Cart,2024-11-03,Mobile,Direct
E00377,C03901,Checkout,2025-04-07,Mobile,Instagram
E00378,C00079,Add To Cart,2025-05-04,Mobile,Instagram
E00379,C00285,Visit,2024-07-12,Tablet,Facebook
E00380,C03190,Add To Cart,2025-05-11,Tablet,Instagram
E00381,C00762,Visit,2026-04-06,Tablet,Google
E00382,C03266,Visit,2025-01-29,Tablet,Instagram
E00383,C03936,Visit,2026-02-12,Mobile,Google
E00384,C00530,Product View,2025-08-01,Desktop,Google
E00385,C04849,Add To Cart,2025-05-26,Mobile,Facebook
E00386,C03258,Product View,2024-07-22,Desktop,Direct
E00387,C01986,Product View,2025-03-06,Desktop,Google
E00388,C00745,Product View,2025-09-09,Mobile,Google
E00389,C02098,Visit,2026-03-21,Mobile,Facebook
E00390,C03018,Visit,2024-12-04,Desktop,Instagram
E00391,C01692,Add To Cart,2024-09-24,Desktop,Google
E00392,C01989,Add To Cart,2025-05-01,Tablet,Direct
E00393,C04696,Visit,2024-10-05,Tablet,Facebook
E00394,C00539,Product View,2025-09-06,Mobile,Google
E00395,C00097,Product View,2025-12-27,Mobile,Facebook
E00396,C02361,Visit,2026-04-29,Desktop,Instagram
E00397,C04409,Checkout,2024-11-16,Desktop,Direct
E00398,C00885,Product View,2024-09-26,Desktop,Facebook
E00399,C03947,Visit,2026-02-06,Tablet,Facebook
E00400,C02530,Checkout,2024-08-01,Mobile,Direct
E00401,C04597,Checkout,2024-07-03,Mobile,Facebook
E00402,C02668,Product View,2025-12-16,Mobile,Facebook
E00403,C03345,Visit,2026-01-10,Tablet,Google
E00404,C00423,Visit,2024-09-27,Tablet,Google
E00405,C01558,Visit,2025-08-17,Tablet,Facebook
E00406,C03031,Checkout,2024-10-13,Desktop,Facebook
E00407,C00790,Visit,2024-12-09,Desktop,Direct
E00408,C04264,Product View,2025-10-18,Tablet,Instagram
E00409,C04313,Visit,2025-06-23,Tablet,Google
E00410,C02424,Visit,2025-03-23,Tablet,Google
E00411,C01500,Checkout,2025-01-08,Mobile,Facebook
E00412,C02916,Visit,2026-04-27,Tablet,Instagram
E00413,C00839,Product View,2025-02-17,Desktop,Instagram
E00414,C00543,Add To Cart,2025-07-04,Mobile,Facebook
E00415,C03841,Checkout,2024-10-18,Tablet,Instagram
E00416,C01780,Visit,2024-07-16,Tablet,Google
E00417,C00526,Visit,2025-02-05,Mobile,Instagram
E00418,C04654,Visit,2025-04-29,Mobile,Direct
E00419,C01968,Purchase,2025-03-11,Mobile,Instagram
E00420,C03647,Visit,2024-12-11,Mobile,Google
E00421,C00637,Checkout,2025-05-05,Tablet,Direct
E00422,C02474,Product View,2025-06-08,Mobile,Facebook
E00423,C03284,Visit,2024-07-30,Mobile,Direct
E00424,C03142,Visit,2024-10-30,Mobile,Facebook
E00425,C01807,Visit,2024-09-02,Desktop,Direct
E00426,C01018,Add To Cart,2025-04-29,Desktop,Instagram
E00427,C01587,Visit,2024-11-22,Desktop,Google
E00428,C02585,Visit,2024-06-18,Desktop,Instagram
E00429,C02917,Product View,2024-09-12,Desktop,Instagram
E00430,C04569,Visit,2026-04-23,Tablet,Google
E00431,C04375,Purchase,2024-07-09,Tablet,Google
E00432,C04092,Purchase,2024-10-02,Mobile,Direct
E00433,C00591,Visit,2025-01-02,Tablet,Google
E00434,C00880,Visit,2025-01-12,Tablet,Instagram
E00435,C04206,Visit,2025-02-22,Desktop,Direct
E00436,C04427,Product View,2026-03-01,Tablet,Facebook
E00437,C00825,Visit,2026-05-11,Desktop,Facebook
E00438,C04728,Product View,2025-02-28,Desktop,Direct
E00439,C02073,Visit,2025-05-29,Desktop,Facebook
E00440,C01906,Visit,2025-08-24,Desktop,Facebook
E00441,C02355,Purchase,2024-08-31,Mobile,Google
E00442,C03766,Product View,2024-06-29,Mobile,Instagram
E00443,C04441,Add To Cart,2025-08-14,Tablet,Instagram
E00444,C01448,Add To Cart,2025-12-08,Mobile,Facebook
E00445,C01122,Visit,2026-05-04,Desktop,Facebook
E00446,C00750,Product View,2025-09-05,Tablet,Facebook
E00447,C00339,Visit,2025-06-21,Desktop,Direct
E00448,C01059,Visit,2026-03-27,Tablet,Direct
E00449,C02333,Visit,2026-02-28,Mobile,Instagram
E00450,C04727,Add To Cart,2025-11-05,Tablet,Instagram
E00451,C03169,Visit,2026-02-10,Tablet,Direct
E00452,C03748,Visit,2025-06-22,Desktop,Google
E00453,C03319,Visit,2025-11-07,Tablet,Instagram
E00454,C03380,Visit,2025-03-28,Tablet,Direct
E00455,C04987,Visit,2024-08-05,Mobile,Direct
E00456,C00588,Product View,2025-06-27,Desktop,Google
E00457,C04245,Visit,2026-05-27,Desktop,Direct
E00458,C03179,Visit,2025-05-22,Mobile,Instagram
E00459,C01413,Visit,2025-02-06,Tablet,Direct
E00460,C04498,Visit,2026-04-16,Desktop,Instagram
E00461,C02073,Visit,2025-12-21,Mobile,Google
E00462,C03893,Visit,2025-08-12,Tablet,Direct
E00463,C03423,Product View,2026-04-09,Tablet,Instagram
E00464,C02812,Purchase,2024-09-30,Desktop,Facebook
E00465,C03671,Visit,2025-06-26,Desktop,Facebook
E00466,C00635,Product View,2025-04-14,Tablet,Instagram
E00467,C00827,Product View,2026-05-19,Tablet,Instagram
E00468,C03969,Visit,2025-03-24,Tablet,Google
E00469,C00224,Checkout,2025-12-25,Mobile,Facebook
E00470,C00235,Checkout,2025-08-27,Tablet,Instagram
E00471,C04613,Visit,2026-03-16,Mobile,Direct
E00472,C04375,Visit,2024-12-25,Desktop,Instagram
E00473,C00948,Visit,2026-06-04,Desktop,Google
E00474,C04300,Visit,2025-04-14,Tablet,Instagram
E00475,C04282,Product View,2025-02-02,Tablet,Instagram
E00476,C03945,Product View,2024-12-30,Tablet,Instagram
E00477,C04589,Checkout,2024-09-16,Desktop,Facebook
E00478,C00572,Visit,2024-11-30,Mobile,Google
E00479,C04453,Purchase,2025-05-21,Tablet,Facebook
E00480,C01204,Visit,2024-11-21,Mobile,Facebook
E00481,C04169,Visit,2026-02-25,Desktop,Direct
